"","611676","474620","474619","474617","474608","474610","474609","474615","474607","474614","611673","474611","611675","474613","611674","474612","611677","474616","474618"
"1",1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,NA
"2",1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,NA,1
"3",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"4",0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
"5",0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
"6",1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
"7",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"8",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
"9",1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1
"10",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
"11",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",1,0,0,1,0,1,0,0,0,NA,1,1,1,0,0,1,1,1,1
"13",1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
"14",1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,NA,1,0,1
"15",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
"16",1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1
"17",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"18",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"19",1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
"20",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"21",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"22",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1
"23",NA,1,0,1,1,0,1,0,NA,1,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"25",1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
"26",1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
"27",1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0
"28",1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
"29",1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
"30",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"31",0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0
"32",1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
"33",1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"34",1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"35",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"37",1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1
"38",0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"40",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
"41",0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
"42",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1
"43",0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"44",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
"45",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"46",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
"47",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"48",1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1
"49",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
"50",1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,0,1,1
"51",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"52",0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1
"53",1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1
"54",0,1,1,1,1,1,1,1,NA,0,1,1,1,1,0,0,0,1,0
"55",1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
"56",1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1
"57",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"58",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"60",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"62",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"63",0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1
"64",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
"65",1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1
"66",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
"67",1,1,0,1,0,1,1,1,1,1,NA,1,1,1,0,1,0,1,1
"68",1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1
"69",1,NA,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
"70",1,1,0,1,0,NA,1,1,0,0,0,1,1,1,1,1,0,0,1
"71",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
"72",0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
"73",1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
"74",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"75",1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
"76",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
"77",0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
"78",0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
"79",0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1
"80",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
