"","654392","654408","654406","654402","654405","654409","654410","654403","654393","654394","654395","654396","654407","654404"
"1",1,0,0,0,1,0,0,0,1,1,1,1,1,0
"2",1,1,0,0,1,0,0,0,1,1,1,0,0,0
"3",1,1,1,0,0,0,0,1,0,1,0,1,0,1
"4",1,1,0,0,1,0,0,0,1,1,1,1,0,0
"5",1,1,0,0,1,0,0,0,1,1,1,0,1,0
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,0,0,1,0,NA,1,1,0,0,0,1,1
"8",1,1,0,0,1,1,0,0,0,1,1,1,0,0
"9",1,1,1,0,1,1,0,0,1,1,1,1,1,1
"10",1,1,1,0,NA,NA,0,1,1,0,1,1,1,0
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1,0,1,0,1,1,0,1,1,1,1,1,1,0
"13",1,1,0,0,0,1,0,0,1,1,1,1,1,1
"14",1,1,0,0,1,0,1,1,1,1,1,1,NA,1
"15",1,1,1,1,1,1,0,0,1,1,0,1,1,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1,1,0,0,0,1,NA,0,1,0,1,1,NA,0
"18",NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA
"19",1,1,0,0,0,0,0,0,1,0,1,1,0,0
"20",1,1,0,0,0,0,0,0,1,0,1,0,1,0
"21",1,1,0,0,1,1,0,0,1,0,1,1,1,1
"22",0,0,0,0,0,NA,0,0,1,0,1,1,1,0
"23",1,1,0,0,0,0,0,0,1,1,1,0,1,0
"24",1,0,0,0,0,0,0,0,0,0,1,1,1,0
"25",1,0,1,0,1,0,0,0,1,1,1,1,1,1
"26",1,1,1,0,NA,NA,0,0,1,1,1,1,1,0
"27",1,1,0,0,1,0,0,0,1,0,1,1,0,1
"28",NA,0,0,0,0,0,0,0,1,1,1,1,0,0
"29",1,1,0,0,1,1,0,1,1,1,1,1,1,1
"30",1,1,0,0,0,0,0,0,1,1,1,1,1,0
"31",1,0,0,0,1,0,0,1,1,1,0,1,1,1
"32",1,1,0,0,0,NA,0,1,1,1,1,1,1,0
"33",1,0,1,0,0,0,0,1,1,0,1,0,1,0
"34",1,1,0,0,0,NA,0,1,1,1,0,0,1,1
"35",1,1,1,0,0,1,NA,0,1,1,1,1,1,0
"36",1,1,0,0,0,1,0,1,1,1,1,1,0,1
"37",1,1,0,1,0,1,0,0,1,0,1,1,1,0
"38",1,1,0,0,0,0,0,0,1,1,0,0,0,0
"39",1,1,0,0,0,0,0,1,1,1,1,1,1,0
"40",1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"41",1,1,1,0,1,0,1,1,1,1,1,1,1,1
"42",1,1,0,0,1,0,0,1,1,1,0,1,1,0
"43",1,1,0,NA,NA,0,0,0,1,1,1,NA,NA,NA
"44",1,0,0,0,0,0,0,0,1,1,1,1,1,0
"45",1,1,0,0,0,1,0,1,1,1,1,0,1,0
"46",1,1,0,1,0,0,0,1,1,0,1,1,0,0
"47",1,0,0,0,0,0,0,0,1,1,1,1,0,0
"48",1,1,1,1,0,1,NA,1,1,1,1,1,1,0
"49",1,0,1,0,1,0,0,0,1,1,1,1,1,1
"50",1,0,0,0,1,1,0,1,1,1,0,0,1,0
"51",1,1,1,0,1,0,0,NA,1,0,1,1,NA,0
"52",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"53",1,1,1,0,1,0,0,1,1,1,1,1,1,1
"54",1,0,1,0,0,0,0,1,1,1,0,1,0,0
"55",1,1,1,0,0,0,0,0,1,0,1,1,1,0
"56",1,1,0,0,1,0,0,0,1,1,1,1,1,0
"57",NA,1,1,1,1,1,0,1,1,1,1,1,1,NA
"58",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"59",1,1,1,0,1,0,0,1,1,1,1,1,1,0
"60",1,1,1,0,0,0,0,1,1,1,1,1,0,0
"61",1,1,1,0,1,1,0,1,1,1,1,1,1,1
"62",1,0,1,0,1,1,0,1,1,1,1,1,1,0
"63",1,0,0,0,1,1,0,1,1,1,0,0,1,0
"64",1,NA,NA,0,NA,NA,NA,NA,1,1,0,0,NA,NA
"65",1,1,1,0,1,1,0,1,1,1,1,1,1,1
"66",1,1,0,0,0,0,0,0,1,1,1,1,1,1
"67",1,0,0,0,1,0,0,0,0,1,1,1,1,0
"68",1,1,1,1,1,0,1,1,1,0,1,1,1,0
"69",1,1,1,0,1,1,0,1,1,1,1,1,1,1
"70",1,1,0,0,1,0,0,1,1,1,1,1,0,0
"71",1,1,0,0,1,1,1,0,0,0,1,1,0,0
